ID,copy_num,skew,std,kurtosis,beyond1st,stetson_j,stetson_k,max_slope,amplitude,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,percent_amplitude,percent_difference_flux_percentile,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,small_kurtosis,pair_slope_trend_last_30,poly1_t1,poly2_t2,poly2_t1,poly3_t3,poly3_t2,poly3_t1,poly4_t4,poly4_t3,poly4_t2,poly4_t1,magnitudeRatio,lombScargle,rcb,ObsCount,Class
CataID2113052024527,0,8.69719733305077,0.7407900476766963,75.75576262146242,0.013157894736842105,1.3262655007504243,0.9077676549836735,51.09315578111102,3.25,0.1695429362880753,0.9736842105263158,0.3815789473684211,0.9973938464500011,0.028016298126471374,0.08876136877163027,0.08876136877163027,0.2003309362893002,0.26629163602777456,0.4438444930616197,-3.123843021103295,0.4666666666666667,0.00017330669066117988,1.6242285952817686e-07,0.0001587127390518593,1.6207427155629233e-10,1.7355101357313543e-07,-9.96625995227324e-05,2.020923124897653e-13,1.9208683714811838e-10,-2.3557293446164827e-07,-0.00014081893439658343,0.013157894736842105,1522.1679947368407,0.013157894736842105,76,non-transient
CataID2112033001275,0,0.1461109851220006,0.9286549412995125,-2.20296823422403,0.42857142857142855,-0.43051062756224145,0.8604846298093218,0.0011347580770968242,1.1350000000000016,0.8028571428571435,0.14285714285714285,0.42857142857142855,1.3120647901755942,1.2007111164007482,0.36648955923366494,0.6216373078322516,0.7190296898175367,0.8164220718028219,0.9259614775338421,-5.4,0.1,0.00038305561380966183,2.5892018334555076e-07,0.00014974341671212965,2.0645790528189625e-10,-4.671915158055256e-08,-8.99960304162668e-05,2.02898882534482e-12,-2.901426949729795e-09,-3.1546352581245177e-06,0.002054866454674679,1.0,602.6269122448986,0.7142857142857143,7,non-transient
CataID1123040015889,0,-0.13253624695693478,0.28043441681717185,0.28305701004014505,0.3020527859237537,0.13014924185236906,0.7629711588881642,71.54087894084384,0.8300000000000001,0.22312759608190535,0.2932551319648094,0.4897360703812317,1.42102904673618,0.45881426027534883,0.1790733933825125,0.2914262904469974,0.41382751588125066,0.5650388709080936,0.7825054246419233,-3.0266534010577577,0.4666666666666667,-4.042835669754287e-05,8.518556486860043e-08,-4.02517829973365e-05,2.029354229656078e-11,8.705502413134898e-08,-6.201278454936422e-05,1.3521530279211478e-14,2.397901355240331e-11,6.584871597791945e-08,-6.535009318559097e-05,0.7976539589442815,4.551275229357799,0.0,341,non-transient
CataID2103005002637,0,-2.375843305476979,0.5230979148987583,6.622093262980072,0.26666666666666666,-0.11093376449319428,0.477115309534394,4.525273224043695,1.0549999999999997,0.33999999999999914,0.2,0.4,3.830588020397731,1.7347532464631585,0.07103683932575766,0.11032799463415224,0.162927266488746,0.2352313141896485,0.4343384103964892,-3.769230769230769,0.2,-0.00024244571396598615,-5.3359896694833676e-08,-0.00023636973799571152,-1.6480341894024038e-11,-4.786989994766488e-08,-0.00021008837844081862,7.518279995875907e-13,-3.022200913548527e-10,-1.5304880054613045e-06,-1.3851533120084925e-05,1.0,459.22565396825365,0.9333333333333333,15,non-transient
CataID1157049033626,0,-0.16435904700188977,0.2883256545359391,0.752946325314495,0.2898550724637681,0.10595552763191707,0.7195713293438333,9.929472902746813,0.8499999999999996,0.2191304347826088,0.3333333333333333,0.4782608695652174,1.3658946099770937,0.5011818227247476,0.1218234370053709,0.2497339151571457,0.35996469332663716,0.5234092940763099,0.7574714986981649,-3.0668300653594773,0.5333333333333333,-3.1619530976852334e-05,4.264316910682745e-08,-2.4752781031372036e-05,1.3130400606798067e-11,4.740187508020355e-08,-4.102119584458891e-05,-1.4158726656657193e-14,7.46942812417863e-12,7.087733514283844e-08,-3.7422113056522886e-05,0.6159420289855072,9.933222995239843,0.0,138,non-transient
CataID3011111007810,0,-1.7987579151789168,0.14337361018796949,4.372815021856659,0.16176470588235295,-0.034195906224955795,0.6550949755930687,6.2177002583979295,0.3899999999999988,0.09598183391003372,0.75,0.4264705882352941,0.7218685749860061,0.3219551825319052,0.08858025218340564,0.17012610539674053,0.24349335886246048,0.3655001231050351,0.5961731113109706,-3.139160839160839,0.43333333333333335,2.0656175938214986e-05,-4.275065449518182e-09,2.2180188601812584e-05,-6.389245610698094e-12,5.717475215135484e-10,2.826744564453879e-05,1.437199102140829e-14,-1.9373344554586927e-11,-1.852239548011741e-08,3.583053044628991e-05,0.0,23.182777096483335,0.0,68,non-transient
CataID2012186018136,0,3.520099861059419,0.20047641466984234,20.937566765074823,0.14492753623188406,0.10034085559717887,0.7218295709168976,6.7567567699667626,0.7699999999999996,0.11991178323881407,0.6666666666666666,0.4782608695652174,0.6866714275684409,0.2246161992650513,0.16856111013126557,0.23639332657904988,0.3656802439165886,0.4581070642746767,0.7034720215597657,-3.1370420624151967,0.5666666666666667,1.8513297268827423e-05,1.918108662094671e-08,1.6846572868616952e-05,-5.918170714805024e-11,3.065359510795548e-08,9.447973318587581e-05,5.1557098909157755e-15,-6.148554016784754e-11,2.2273010230146194e-08,9.678350040174886e-05,1.0,26.232423967774398,0.014492753623188406,69,non-transient
CataID1101058035632,0,-2.5273184831036897,0.6668374612528114,9.467163969964275,0.3333333333333333,0.11254389558821042,0.37297938971582867,8.201058201058194,1.8550000000000004,0.4395397764628531,0.15384615384615385,0.48717948717948717,15.90440931643264,1.871057952698273,0.11685704551568914,0.16039316741629378,0.2414702449808885,0.3425405430654472,0.6195399375237951,-3.2522522522522523,0.5,-0.0002137851794640713,-2.455072256740684e-07,-0.00035554993439742145,-2.5833822889697935e-10,-5.06291784087243e-07,-6.060101270549186e-05,-2.1500001237527243e-13,-5.583458327437365e-10,-2.1132987941522435e-07,0.0001801584875565429,0.9743589743589743,65.62906962305983,0.6923076923076923,39,non-transient
CataID2101149011955,0,1.2877697726234125,0.36024662402556423,2.1194053565503377,0.2558139534883721,0.6590960240537868,0.8577802105578504,5.196936542669587,0.8399999999999999,0.2813628988642507,0.2558139534883721,0.5116279069767442,0.7035168610475658,0.3664748842713677,0.12108699933655837,0.34296007693710345,0.4228932777759586,0.6340029270575542,0.8645355638753306,-3.226829268292683,0.5,-0.0002862640931145672,2.039120120353812e-07,-0.0002733204992931639,-5.5828064444132965e-11,2.0375960260370524e-07,-0.00023080342802381105,4.598558154058049e-13,2.6737873568231453e-11,-2.79805517997346e-07,-0.00028482771737121736,1.0,337.3280263157894,0.7906976744186046,43,non-transient
CataID1163032043679,0,-0.5766523183974637,0.594169532930151,0.4040186857980679,0.39285714285714285,-0.24208417847065128,0.6468270321490899,8.333333333333334,1.245000000000001,0.45415816326530606,0.17857142857142858,0.5714285714285714,2.8904101967529634,1.7520401397840875,0.10012307427054618,0.19899673787011554,0.30799827764157967,0.3791709685841176,0.5415967035076624,-3.3646153846153846,0.5333333333333333,-3.5667502492921244e-05,-3.954685972807429e-08,-4.602726823088079e-05,-2.1878320142347548e-12,-4.002401347662111e-08,-4.312466699011537e-05,-3.5530721130274056e-13,-4.142942420913201e-11,5.942550173972998e-07,-6.51425276725223e-05,0.9642857142857143,38.63509813486371,0.32142857142857145,28,non-transient
