ID,copy_num,skew,std,kurtosis,beyond1st,stetson_j,stetson_k,max_slope,amplitude,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,percent_amplitude,percent_difference_flux_percentile,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,small_kurtosis,pair_slope_trend_last_30,poly1_t1,poly2_t2,poly2_t1,poly3_t3,poly3_t2,poly3_t1,poly4_t4,poly4_t3,poly4_t2,poly4_t1,chi2SALT2,chi2sGauss,ObsCount,Class
CataID2113052024428,0,-2.000423783801421,0.38198766858024163,2.4156319261816925,0.14473684210526316,2.014903872547827,0.6080957924180739,6.499028182701654,0.7050000000000001,0.2609314404432204,0.7894736842105263,0.5263157894736842,1.884031503126611,1.741661654045855,0.030207443904466277,0.04355993733870047,0.06099717733721365,0.09591804973124612,0.9192397432725766,-3.123843021103295,0.5,0.000242217384620971,-2.8126947157752333e-07,0.0002674898928709054,1.2474236433880278e-10,-2.7270455727641286e-07,6.86282826279826e-05,2.1922278147558515e-13,1.5729896200052795e-10,-7.165081277907614e-07,2.3983307788362753e-05,-100,535053.7355964012,76,non-transient
CataID2113052024523,0,-0.6806086651558,0.06332161589557732,1.795347252445664,0.24242424242424243,-0.0010051186822121446,0.7783530191506043,2.734877734877734,0.1850000000000005,0.04687786960514281,0.8939393939393939,0.4393939393939394,0.2246161992650515,0.12205403812605088,0.1504641852591924,0.2507878243060235,0.341372858019872,0.48881199562067007,0.6884569375061556,-3.1436011904761907,0.5,-9.866267036036665e-06,4.79492131033307e-09,-1.0788599051670298e-05,1.025195216055684e-11,8.410434116982716e-09,-2.377468977389162e-05,3.09204151522709e-14,3.6040742260521084e-11,-4.63200913025007e-08,-4.763143814087631e-05,-100,3500937.116398799,66,non-transient
CataID1129003068574,0,0.703289386071697,0.02516504247905809,2.9694439163681308,0.24363636363636362,0.02698019431316559,0.761539239905773,2.1043771043771344,0.09999999999999964,0.01871391735537156,1.0,0.45454545454545453,0.09635052627769773,0.03752841581801374,0.12439797445132308,0.24994698918841443,0.37320447615472335,0.49991518162223014,0.6987725242695945,-3.0331286360698124,0.4666666666666667,4.401691630626401e-06,-4.679411213874059e-09,4.995043732449525e-06,1.4463353996856823e-12,-4.83289258917604e-09,2.701080505000491e-06,-3.724630126526039e-15,2.190118232109943e-12,3.2321142586478793e-09,1.9444667816653464e-06,-100,17129588638.631008,275,non-transient
CataID2123102012244,0,-2.5109399627193336,0.06582426287630126,7.54233835310278,0.10344827586206896,0.5146418091380246,0.6512165291160614,18.018018018018033,0.20500000000000007,0.042705112960757956,0.9051724137931034,0.3620689655172414,0.3931568029453063,0.16689351912318884,0.04556624265575398,0.1367025933957785,0.22785054074933944,0.2746933808438398,0.5107637826981388,-3.0798789007918024,0.36666666666666664,2.850344624300365e-05,1.641057019701598e-09,2.907487163949318e-05,9.28017400562962e-12,5.741465305753593e-09,1.611815695602457e-05,-3.075179249301962e-14,-4.7329700195045826e-12,6.013616852973373e-08,2.2842581656929296e-05,-100,1275191015.7259872,116,non-transient
CataID2107018010825,0,-0.5700138979869253,0.3707298321764899,0.12083823832595053,0.39285714285714285,-0.242487399477182,0.7434110261964895,7.156862745098043,0.75,0.3039285714285712,0.17857142857142858,0.5357142857142857,1.4971406967873386,0.585065449007605,0.23045782334971657,0.33325027262205,0.5724434462638772,0.7805285625584779,0.8724290977645498,-3.3646153846153846,0.5,6.236792377702332e-06,-6.749899301134258e-08,9.312685727967793e-06,-6.275435117611528e-11,-6.176672287199884e-08,0.000134207046627969,1.6148258040923274e-13,-7.49019076247648e-11,-4.3145146313140216e-07,0.0001401765946966938,-100,4564.519504094817,28,non-transient
CataID1001012034444,0,0.7030257429183465,0.2660366792928624,2.379445225336994,0.26480836236933797,0.05442353372898908,0.775857780318344,9.296148738379832,1.0450000000000017,0.1992669572290549,0.3797909407665505,0.5226480836236934,1.0323570109362272,0.39315680294530647,0.12193545459599146,0.24412955063934766,0.3879961714270297,0.5499118429862095,0.7271767179423719,-3.031727205337287,0.4666666666666667,-1.2762983905743799e-05,-2.5175425834586144e-08,-1.1808190973943673e-05,-2.511772072788727e-11,-2.3980177207430584e-08,2.7122211001236905e-05,2.5826902679282703e-14,-2.9615191817401257e-11,-7.842606368616749e-08,3.295378758293248e-05,-100,366159.60739173944,287,non-transient
CataID2116014019996,0,-0.49811453551402024,0.47089232668767655,-0.4289034944898149,0.375,0.060801738216587034,0.7431478149042325,6.313131313131323,0.8100000000000005,0.37695312500000044,0.1875,0.4375,1.582150667462404,1.1419209332706806,0.14051332644780892,0.26689020239438643,0.3465858214781747,0.5812939907291853,0.8168808517722775,-3.708791208791209,0.23333333333333334,-8.363114868396629e-05,3.1761038494003125e-07,-0.00013463193938640722,-3.259507738625979e-10,3.8297737261776744e-07,5.505281161282748e-05,-1.467940863004655e-13,-2.521948558223684e-10,4.902413672373566e-07,2.2965479965187482e-05,-100,655.2640279924055,16,non-transient
CataID2116014020041,0,0.12207188290710026,0.046532883003348395,0.12956174830127765,0.34615384615384615,0.08299962079307789,0.8266373776836281,1.151012891344372,0.11500000000000021,0.03798816568047373,0.9615384615384616,0.4423076923076923,0.10875851242607433,0.08142248409402322,0.21316024219623453,0.35528716203693955,0.49744422123200394,0.5762981783159954,0.781896998549646,-3.1848979591836737,0.5,1.357880959463908e-05,-4.5017938755987775e-09,1.4257871085254495e-05,-1.9659298188256864e-11,1.1082802468844893e-09,2.905656593929347e-05,4.9556101224593206e-14,-3.6820646868455865e-11,-4.9742341158532376e-08,3.570659415468183e-05,-100,1992823.1889469675,52,non-transient
CataID2103005002871,0,-4.168940661596074,0.12999493112310387,34.15977963596607,0.15337423312883436,0.07594382861461664,0.541246660421686,4.653792617898747,0.6950000000000003,0.07738341676389822,0.7730061349693251,0.49693251533742333,1.8313919957993756,0.14815362149688052,0.13330520769749205,0.2322393563133108,0.33336197370703163,0.4979653862241391,0.7640303896373298,-3.0563664596273292,0.4666666666666667,-1.4659833963198608e-05,-2.0953393118489704e-08,-1.3221420305161522e-05,-3.417745218726459e-11,-2.0760399815283456e-08,3.857594176753099e-05,-4.783618154027973e-14,-3.8934705805829275e-11,8.149472649102818e-08,4.673169130711378e-05,-100,650063.4224565849,163,non-transient
CataID1121078044051,0,-3.1138958444011773,0.7784033935802533,15.225399516549142,0.37254901960784315,-0.21655961516849692,0.2820963582310233,10.704022967145535,2.5999999999999996,0.5042445213379475,0.19607843137254902,0.39215686274509803,50.99959965335157,1.7068260932169874,0.11418502058877937,0.23670219654376026,0.33143916729901235,0.5365184940252129,0.7239506618040559,-3.188775510204082,0.4,-0.00014552801595578302,-1.2269253174316367e-07,-0.00017692412387059587,-7.91992256058415e-11,-1.6252176827064805e-07,-8.122101227120589e-05,-1.6942244823076003e-13,-1.944051276801315e-10,1.421612095206424e-07,1.061380108837973e-05,-100,213382.20078869333,51,non-transient
